epoch,train_loss,train_acc,test_loss,top1_acc,top3_acc
1,2.2375,0.4884,1.226,0.6923,0.8923
2,1.0793,0.7337,0.874,0.7616,0.9237
3,0.8506,0.7652,0.7637,0.7808,0.9323
4,0.7329,0.7932,0.7365,0.7744,0.9349
5,0.6813,0.7998,0.6904,0.7861,0.9371
6,0.5955,0.8308,0.647,0.7931,0.9413
7,0.5753,0.8398,0.6558,0.7957,0.9429
8,0.5672,0.8441,0.6569,0.7963,0.9376
9,0.564,0.8492,0.6413,0.8016,0.9419
10,0.569,0.8443,0.6494,0.7984,0.9429
11,0.5459,0.8503,0.6421,0.8021,0.9451
12,0.5609,0.846,0.6427,0.7989,0.9424
13,0.5547,0.8464,0.6439,0.7995,0.9451
14,0.5483,0.8485,0.6589,0.7947,0.9392
15,0.5503,0.8482,0.6492,0.7984,0.9413
